股票代码,股票名称,生效日期,失效日期
600066,宇通客车,2018-02-01,2018-02-28
600068,葛洲坝,2018-02-01,2018-02-28
600074,*ST保千,2018-02-01,2018-02-28
600085,同仁堂,2018-02-01,2018-02-28
600089,特变电工,2018-02-01,2018-02-28
600100,同方股份,2018-02-01,2018-02-28
600104,上汽集团,2018-02-01,2018-02-28
600109,国金证券,2018-02-01,2018-02-28
600111,北方稀土,2018-02-01,2018-02-28
600115,东方航空,2018-02-01,2018-02-28
600118,中国卫星,2018-02-01,2018-02-28
600153,建发股份,2018-02-01,2018-02-28
600157,永泰能源,2018-02-01,2018-02-28
600170,上海建工,2018-02-01,2018-02-28
600177,雅戈尔,2018-02-01,2018-02-28
600188,兖州煤业,2018-02-01,2018-02-28
600196,复星医药,2018-02-01,2018-02-28
600208,新湖中宝,2018-02-01,2018-02-28
600219,南山铝业,2018-02-01,2018-02-28
600221,海航控股,2018-02-01,2018-02-28
600233,圆通速递,2018-02-01,2018-02-28
600271,航天信息,2018-02-01,2018-02-28
600276,恒瑞医药,2018-02-01,2018-02-28
600297,广汇汽车,2018-02-01,2018-02-28
600309,万华化学,2018-02-01,2018-02-28
600332,白云山,2018-02-01,2018-02-28
600340,华夏幸福,2018-02-01,2018-02-28
600352,浙江龙盛,2018-02-01,2018-02-28
600362,江西铜业,2018-02-01,2018-02-28
600369,西南证券,2018-02-01,2018-02-28
600372,中航电子,2018-02-01,2018-02-28
600373,中文传媒,2018-02-01,2018-02-28
600376,首开股份,2018-02-01,2018-02-28
600383,金地集团,2018-02-01,2018-02-28
600390,五矿资本,2018-02-01,2018-02-28
600406,国电南瑞,2018-02-01,2018-02-28
600415,小商品城,2018-02-01,2018-02-28
600436,片仔癀,2018-02-01,2018-02-28
600482,中国动力,2018-02-01,2018-02-28
600485,信威集团,2018-02-01,2018-02-28
600489,中金黄金,2018-02-01,2018-02-28
600498,烽火通信,2018-02-01,2018-02-28
600518,康美药业,2018-02-01,2018-02-28
600519,贵州茅台,2018-02-01,2018-02-28
600522,中天科技,2018-02-01,2018-02-28
600535,天士力,2018-02-01,2018-02-28
600547,山东黄金,2018-02-01,2018-02-28
600549,厦门钨业,2018-02-01,2018-02-28
600570,恒生电子,2018-02-01,2018-02-28
600583,海油工程,2018-02-01,2018-02-28
600585,海螺水泥,2018-02-01,2018-02-28
600588,用友网络,2018-02-01,2018-02-28
600606,绿地控股,2018-02-01,2018-02-28
600637,东方明珠,2018-02-01,2018-02-28
600649,城投控股,2018-02-01,2018-02-28
600660,福耀玻璃,2018-02-01,2018-02-28
600663,陆家嘴,2018-02-01,2018-02-28
600674,川投能源,2018-02-01,2018-02-28
600682,南京新百,2018-02-01,2018-02-28
600685,中船防务,2018-02-01,2018-02-28
600688,上海石化,2018-02-01,2018-02-28
600690,青岛海尔,2018-02-01,2018-02-28
600703,三安光电,2018-02-01,2018-02-28
600704,物产中大,2018-02-01,2018-02-28
600705,中航资本,2018-02-01,2018-02-28
600739,辽宁成大,2018-02-01,2018-02-28
600741,华域汽车,2018-02-01,2018-02-28
600795,国电电力,2018-02-01,2018-02-28
600804,鹏博士,2018-02-01,2018-02-28
